onset	duration	titr	surround	centre	response	rt
277.0009765625	0.00833333333333333	1	-30	-15	1	1.1455078125
280.1845703125	0.00833333333333333	1	-30	-14	1	0.75390625
283.3515625	0.00833333333333333	1	30	-15	1	1.2021484375
286.708984375	0.00833333333333333	1	NaN	15	2	0.4375
289.2021484375	0.00833333333333333	1	30	-14	1	0.48046875
291.7177734375	0.00833333333333333	1	30	-13	1	0.380859375
294.30078125	0.00833333333333333	1	-30	-13	2	0.7578125
297.216796875	0.00833333333333333	1	NaN	14	2	0.41015625
299.875	0.00833333333333333	1	-30	15	2	0.5283203125
302.775390625	0.00833333333333333	1	-30	-14	1	0.6513671875
305.5751953125	0.00833333333333333	1	30	-12	1	0.4111328125
308.091796875	0.00833333333333333	1	-30	-13	2	0.6474609375
310.8916015625	0.00833333333333333	1	NaN	-15	1	0.375
313.591796875	0.00833333333333333	1	-30	-14	1	0.626953125
316.466796875	0.00833333333333333	1	NaN	13	2	0.46484375
319.0419921875	0.00833333333333333	1	NaN	12	2	0.44921875
321.9580078125	0.00833333333333333	1	30	-11	1	0.3251953125
324.7578125	0.00833333333333333	1	NaN	-14	1	0.4296875
327.2744140625	0.00833333333333333	1	30	-10	1	0.4013671875
329.9501953125	0.00833333333333333	1	NaN	11	2	0.40625
332.4501953125	0.00833333333333333	1	NaN	-13	1	0.3857421875
335.1083984375	0.00833333333333333	1	-30	-13	2	0.455078125
337.69921875	0.00833333333333333	1	-30	14	2	0.384765625
340.375	0.00833333333333333	1	NaN	-12	1	0.365234375
343.158203125	0.00833333333333333	1	NaN	-11	1	0.4453125
345.8828125	0.00833333333333333	1	NaN	-10	1	0.4091796875
348.58203125	0.00833333333333333	1	-30	-14	2	0.3818359375
351.32421875	0.00833333333333333	1	-30	13	2	0.3603515625
353.724609375	0.00833333333333333	1	-30	-15	1	0.744140625
356.9326171875	0.00833333333333333	1	-30	12	2	0.5439453125
359.8896484375	0.00833333333333333	1	NaN	-9	1	0.3955078125
362.4326171875	0.00833333333333333	1	-30	11	2	0.419921875
365.3662109375	0.00833333333333333	1	NaN	10	2	0.4228515625
368.306640625	0.00833333333333333	1	NaN	-8	1	0.41796875
371.1572265625	0.00833333333333333	1	-30	-14	1	0.4482421875
373.673828125	0.00833333333333333	1	NaN	-7	2	0.4833984375
376.45703125	0.00833333333333333	1	-30	-13	2	0.67578125
379.2314453125	0.00833333333333333	1	30	-9	1	0.4853515625
381.982421875	0.00833333333333333	1	NaN	9	2	0.5908203125
384.8486328125	0.00833333333333333	1	NaN	-8	1	0.5166015625
387.6826171875	0.00833333333333333	1	NaN	-7	1	0.4267578125
390.57421875	0.00833333333333333	1	-30	-14	1	0.6630859375
393.3154296875	0.00833333333333333	1	30	15	2	0.4658203125
