onset	duration	titr	surround	centre	response	rt
14.123046875	0.00833333333333333	1	30	15	2	0.8115234375
17.296875	0.00833333333333333	1	-30	15	2	4.349609375
23.60546875	0.00833333333333333	1	NaN	-15	1	1.1533203125
26.888671875	0.00833333333333333	1	30	-15	1	0.7900390625
30.1298828125	0.00833333333333333	1	-30	14	2	0.533203125
33.0048828125	0.00833333333333333	1	NaN	-14	1	0.634765625
36.0712890625	0.00833333333333333	1	NaN	-13	1	0.6484375
38.6962890625	0.00833333333333333	1	-30	13	2	0.5908203125
41.3466796875	0.00833333333333333	1	NaN	-12	1	0.6923828125
44.0634765625	0.00833333333333333	1	-30	-15	2	0.51171875
46.6884765625	0.00833333333333333	1	30	14	1	0.83984375
49.73828125	0.00833333333333333	1	NaN	-11	1	0.5732421875
52.4384765625	0.00833333333333333	1	30	15	1	1.3857421875
56.330078125	0.00833333333333333	1	-30	12	2	0.4697265625
59.1630859375	0.00833333333333333	1	NaN	15	2	0.724609375
62.0048828125	0.00833333333333333	1	-30	11	2	0.443359375
64.9375	0.00833333333333333	1	NaN	14	2	0.494140625
67.7548828125	0.00833333333333333	1	30	-14	1	0.5498046875
70.3046875	0.00833333333333333	1	-30	-16	1	1.2158203125
73.7626953125	0.00833333333333333	1	-30	10	2	0.501953125
76.3115234375	0.00833333333333333	1	NaN	13	2	0.5693359375
78.9462890625	0.00833333333333333	1	NaN	12	2	0.6298828125
81.5712890625	0.00833333333333333	1	30	16	1	1.2529296875
84.8955078125	0.00833333333333333	1	NaN	11	2	0.7939453125
87.8623046875	0.00833333333333333	1	-30	9	2	0.7470703125
91.095703125	0.00833333333333333	1	30	-13	1	0.537109375
93.845703125	0.00833333333333333	1	30	17	1	1.1240234375
97.4619140625	0.00833333333333333	1	-30	8	2	0.458984375
100.162109375	0.00833333333333333	1	30	-12	1	0.5361328125
102.7294921875	0.00833333333333333	1	NaN	10	2	0.49609375
105.25390625	0.00833333333333333	1	30	18	2	1.6513671875
109.0126953125	0.00833333333333333	1	-30	-15	1	0.7978515625
