onset	duration	titr	surround	centre	response	rt
142.26171875	0.00833333333333333	1	30	-15	2	10.8359375
155.5283203125	0.00833333333333333	1	30	15	2	2.08203125
160.0537109375	0.00833333333333333	1	-30	15	1	1.0927734375
163.2861328125	0.00833333333333333	1	-30	16	1	1.2763671875
166.9453125	0.00833333333333333	1	-30	-15	1	0.8251953125
169.802734375	0.00833333333333333	1	NaN	15	2	0.751953125
172.8115234375	0.00833333333333333	1	30	14	2	0.791015625
176.169921875	0.00833333333333333	1	NaN	14	2	0.544921875
178.76953125	0.00833333333333333	1	-30	-14	1	0.513671875
181.6611328125	0.00833333333333333	1	NaN	13	2	0.6298828125
184.802734375	0.00833333333333333	1	NaN	-15	1	0.552734375
187.7099609375	0.00833333333333333	1	NaN	12	2	0.60546875
190.494140625	0.00833333333333333	1	NaN	11	2	0.7333984375
193.8193359375	0.00833333333333333	1	-30	17	1	1.0078125
197.119140625	0.00833333333333333	1	30	-16	1	1.1240234375
200.4443359375	0.00833333333333333	1	30	13	2	1.8154296875
204.5107421875	0.00833333333333333	1	30	12	2	0.724609375
207.560546875	0.00833333333333333	1	30	-15	1	0.9951171875
210.6015625	0.00833333333333333	1	NaN	10	2	0.7626953125
213.52734375	0.00833333333333333	1	30	-14	1	0.900390625
216.6767578125	0.00833333333333333	1	NaN	-14	1	0.783203125
219.626953125	0.00833333333333333	1	NaN	-13	1	0.76953125
222.8017578125	0.00833333333333333	1	NaN	-12	1	0.6826171875
225.90234375	0.00833333333333333	1	-30	-13	1	0.89453125
229.0771484375	0.00833333333333333	1	-30	-12	1	0.87109375
232.2763671875	0.00833333333333333	1	30	11	2	0.65625
235.310546875	0.00833333333333333	1	NaN	9	2	0.75
238.15234375	0.00833333333333333	1	30	-13	1	0.748046875
241.185546875	0.00833333333333333	1	30	-12	2	1.763671875
245.0771484375	0.00833333333333333	1	NaN	-11	1	0.767578125
248.3173828125	0.00833333333333333	1	-30	18	2	0.9677734375
251.8095703125	0.00833333333333333	1	-30	17	2	0.67578125
254.759765625	0.00833333333333333	1	-30	16	2	0.685546875
257.5517578125	0.00833333333333333	1	30	10	1	1.861328125
261.693359375	0.00833333333333333	1	30	-13	1	0.6962890625
264.484375	0.00833333333333333	1	-30	15	2	0.79296875
267.734375	0.00833333333333333	1	-30	14	2	0.5517578125
270.5263671875	0.00833333333333333	1	-30	13	2	0.52734375
273.1767578125	0.00833333333333333	1	NaN	-10	1	0.8212890625
276.1845703125	0.00833333333333333	1	30	-12	1	0.5009765625
279.1845703125	0.00833333333333333	1	NaN	8	2	0.765625
282.2509765625	0.00833333333333333	1	NaN	7	2	0.634765625
285.443359375	0.00833333333333333	1	NaN	6	2	0.6904296875
288.4013671875	0.00833333333333333	1	NaN	5	2	0.7490234375
291.201171875	0.00833333333333333	1	-30	-11	1	2.4931640625
295.951171875	0.00833333333333333	1	NaN	-9	1	0.6240234375
299.076171875	0.00833333333333333	1	-30	-10	1	0.8662109375
302.333984375	0.00833333333333333	1	NaN	-8	1	0.5849609375
305.025390625	0.00833333333333333	1	-30	12	2	0.677734375
307.80078125	0.00833333333333333	1	30	-11	1	0.55078125
310.484375	0.00833333333333333	1	-30	-9	1	1.0107421875
313.7919921875	0.00833333333333333	1	NaN	-7	1	0.71875
316.6591796875	0.00833333333333333	1	-30	-8	1	0.732421875
319.5009765625	0.00833333333333333	1	NaN	-6	1	0.7626953125
322.7001953125	0.00833333333333333	1	30	11	2	0.8271484375
325.8505859375	0.00833333333333333	1	-30	-7	2	0.7890625
328.80078125	0.00833333333333333	1	30	10	1	4.7275390625
335.900390625	0.00833333333333333	1	NaN	4	2	0.8671875
338.92578125	0.00833333333333333	1	NaN	-5	1	0.76171875
342.1494140625	0.00833333333333333	1	30	11	2	1.0107421875
345.2666015625	0.00833333333333333	1	30	-10	1	0.7177734375
348.3583984375	0.00833333333333333	1	-30	-8	1	1.2021484375
351.6083984375	0.00833333333333333	1	NaN	-4	1	0.6396484375
354.650390625	0.00833333333333333	1	-30	-7	1	1.341796875
358.224609375	0.00833333333333333	1	NaN	3	1	2.0556640625
362.349609375	0.00833333333333333	1	-30	11	2	0.6025390625
365.2080078125	0.00833333333333333	1	NaN	-3	1	0.7685546875
368.150390625	0.00833333333333333	1	30	-9	1	0.5625
370.7919921875	0.00833333333333333	1	30	10	2	1.14453125
374.31640625	0.00833333333333333	1	NaN	4	2	1.052734375
377.5	0.00833333333333333	1	NaN	-2	1	0.7177734375
380.666015625	0.00833333333333333	1	NaN	-1	1	0.6875
383.3994140625	0.00833333333333333	1	NaN	3	2	2.001953125
387.625	0.00833333333333333	1	-30	10	2	0.568359375
390.3486328125	0.00833333333333333	1	-30	-6	1	3.052734375
395.533203125	0.00833333333333333	1	-30	-5	2	1.244140625
399.1748046875	0.00833333333333333	1	30	-8	1	0.5546875
