onset	duration	titr	surround	centre	response	rt
252.1015625	0.00833333333333333	1	-30	15	2	0.8720703125
255.4931640625	0.00833333333333333	1	NaN	-15	1	0.744140625
258.4853515625	0.00833333333333333	1	NaN	15	2	0.591796875
261.6083984375	0.00833333333333333	1	30	15	2	0.6533203125
264.4521484375	0.00833333333333333	1	30	14	2	0.6494140625
267.6845703125	0.00833333333333333	1	NaN	14	2	0.4169921875
270.208984375	0.00833333333333333	1	30	13	2	0.62109375
273.1337890625	0.00833333333333333	1	NaN	13	2	0.4638671875
276.025390625	0.00833333333333333	1	NaN	-14	1	0.5322265625
278.7421875	0.00833333333333333	1	-30	14	2	0.591796875
281.55078125	0.00833333333333333	1	NaN	12	2	0.431640625
284.43359375	0.00833333333333333	1	NaN	11	2	0.380859375
287.359375	0.00833333333333333	1	NaN	-13	1	0.3671875
290.1337890625	0.00833333333333333	1	NaN	10	2	0.5048828125
293.150390625	0.00833333333333333	1	-30	-15	1	0.48828125
296.1083984375	0.00833333333333333	1	NaN	9	2	0.40234375
298.9248046875	0.00833333333333333	1	NaN	8	2	0.3857421875
301.6083984375	0.00833333333333333	1	-30	13	2	0.4462890625
304.57421875	0.00833333333333333	1	NaN	7	2	0.4326171875
307.3837890625	0.00833333333333333	1	NaN	-12	1	0.3515625
310.150390625	0.00833333333333333	1	-30	-14	1	0.560546875
313.1416015625	0.00833333333333333	1	NaN	6	2	0.361328125
316	0.00833333333333333	1	30	-15	1	0.4873046875
319	0.00833333333333333	1	NaN	5	2	0.4072265625
321.7333984375	0.00833333333333333	1	30	-14	1	0.42578125
324.2666015625	0.00833333333333333	1	-30	12	2	0.5087890625
327.3330078125	0.00833333333333333	1	30	-13	1	0.39453125
330.2080078125	0.00833333333333333	1	NaN	4	2	0.591796875
332.9990234375	0.00833333333333333	1	NaN	3	2	0.79296875
336.2744140625	0.00833333333333333	1	-30	11	2	0.4853515625
338.8994140625	0.00833333333333333	1	NaN	2	1	0.9970703125
342.1494140625	0.00833333333333333	1	NaN	-11	1	0.5947265625
345	0.00833333333333333	1	30	12	2	0.4716796875
347.765625	0.00833333333333333	1	-30	10	2	0.5546875
350.75	0.00833333333333333	1	-30	-13	1	0.5625
353.4990234375	0.00833333333333333	1	30	-12	1	0.3974609375
356.3828125	0.00833333333333333	1	-30	9	2	0.513671875
359.357421875	0.00833333333333333	1	-30	-12	1	0.7548828125
362.3662109375	0.00833333333333333	1	30	11	2	0.546875
365.1826171875	0.00833333333333333	1	-30	8	2	0.59375
368.0986328125	0.00833333333333333	1	NaN	3	2	0.91015625
371.5986328125	0.00833333333333333	1	NaN	2	2	0.642578125
374.7490234375	0.00833333333333333	1	30	10	2	0.6123046875
377.7236328125	0.00833333333333333	1	-30	7	2	0.58203125
380.916015625	0.00833333333333333	1	30	9	2	0.837890625
384.099609375	0.00833333333333333	1	-30	6	2	0.517578125
387.0576171875	0.00833333333333333	1	30	-11	1	0.50390625
389.90625	0.00833333333333333	1	NaN	-10	1	0.7275390625
392.765625	0.00833333333333333	1	30	8	2	0.8681640625
395.94921875	0.00833333333333333	1	30	-10	1	0.46875
398.69921875	0.00833333333333333	1	30	7	1	0.4873046875
401.482421875	0.00833333333333333	1	30	-9	1	0.4873046875
404.08203125	0.00833333333333333	1	30	-8	1	0.48046875
407.03125	0.00833333333333333	1	30	8	1	0.947265625
410.5478515625	0.00833333333333333	1	30	-7	1	0.57421875
413.431640625	0.00833333333333333	1	NaN	1	2	1.03515625
416.9990234375	0.00833333333333333	1	30	-6	1	0.4599609375
419.8232421875	0.00833333333333333	1	NaN	-9	1	0.5078125
422.7236328125	0.00833333333333333	1	30	9	2	0.630859375
425.58203125	0.00833333333333333	1	-30	5	2	0.4287109375
428.3896484375	0.00833333333333333	1	-30	-11	1	0.62890625
431.3818359375	0.00833333333333333	1	NaN	0	1	0.701171875
434.240234375	0.00833333333333333	1	30	8	2	0.6748046875
437.21484375	0.00833333333333333	1	NaN	1	1	1.2119140625
440.65625	0.00833333333333333	1	30	-5	1	0.5146484375
443.28125	0.00833333333333333	1	-30	4	2	0.4345703125
446.2060546875	0.00833333333333333	1	-30	3	2	0.517578125
449.03125	0.00833333333333333	1	30	-4	1	0.4443359375
451.71484375	0.00833333333333333	1	-30	2	2	0.4248046875
454.2734375	0.00833333333333333	1	-30	-10	1	0.4267578125
456.84765625	0.00833333333333333	1	-30	1	1	0.64453125
459.72265625	0.00833333333333333	1	NaN	2	1	0.6015625
462.6982421875	0.00833333333333333	1	-30	2	2	0.841796875
465.9814453125	0.00833333333333333	1	NaN	3	1	1.2705078125
469.6982421875	0.00833333333333333	1	30	-3	1	0.5625
472.7978515625	0.00833333333333333	1	NaN	4	2	0.6708984375
476.1474609375	0.00833333333333333	1	NaN	-8	1	0.45703125
478.748046875	0.00833333333333333	1	-30	1	2	0.529296875
481.53125	0.00833333333333333	1	30	7	1	0.8974609375
484.7646484375	0.00833333333333333	1	-30	0	2	0.7041015625
487.85546875	0.00833333333333333	1	30	8	1	1.60546875
491.7802734375	0.00833333333333333	1	-30	-1	2	0.5205078125
494.546875	0.00833333333333333	1	30	9	1	0.59375
497.4140625	0.00833333333333333	1	NaN	3	2	0.87890625
500.86328125	0.00833333333333333	1	30	10	2	0.765625
503.8974609375	0.00833333333333333	1	NaN	2	2	0.8203125
506.947265625	0.00833333333333333	1	NaN	-7	1	0.5703125
509.8642578125	0.00833333333333333	1	30	9	2	1.25390625
513.513671875	0.00833333333333333	1	-30	-2	2	0.68359375
