onset	duration	titr	surround	centre	response	rt
188.8076171875	0.00833333333333333	1	NaN	-15	1	1.03515625
191.9892578125	0.00833333333333333	1	NaN	-14	2	4.1171875
198.517578125	0.00833333333333333	1	30	-15	1	2.2373046875
202.83203125	0.00833333333333333	1	30	-14	1	1.2744140625
206.248046875	0.00833333333333333	1	30	15	2	1.1708984375
209.70703125	0.00833333333333333	1	30	-13	1	0.9755859375
212.8984375	0.00833333333333333	1	-30	-15	1	1.83203125
216.998046875	0.00833333333333333	1	NaN	15	2	0.8046875
219.9736328125	0.00833333333333333	1	30	14	2	0.94140625
223.2978515625	0.00833333333333333	1	NaN	-15	2	5.169921875
230.5478515625	0.00833333333333333	1	-30	15	2	0.919921875
233.689453125	0.00833333333333333	1	NaN	14	1	0.154296875
235.8642578125	0.00833333333333333	1	NaN	-16	1	1.3388671875
239.4970703125	0.00833333333333333	1	-30	-14	2	1.6103515625
243.6396484375	0.00833333333333333	1	NaN	-15	1	1.259765625
247.1806640625	0.00833333333333333	1	NaN	15	2	0.84765625
250.505859375	0.00833333333333333	1	-30	14	2	0.9306640625
253.6630859375	0.00833333333333333	1	30	-12	1	0.701171875
256.7060546875	0.00833333333333333	1	NaN	14	2	0.578125
259.4638671875	0.00833333333333333	1	-30	13	2	0.66015625
262.22265625	0.00833333333333333	1	-30	12	2	0.5654296875
265.255859375	0.00833333333333333	1	-30	11	2	0.5888671875
268.10546875	0.00833333333333333	1	NaN	-14	1	0.7158203125
271.2392578125	0.00833333333333333	1	NaN	13	2	0.9013671875
274.447265625	0.00833333333333333	1	-30	-15	2	2.5576171875
279.2890625	0.00833333333333333	1	30	-11	1	0.66796875
282.263671875	0.00833333333333333	1	30	13	2	0.765625
285.263671875	0.00833333333333333	1	30	12	2	0.7978515625
288.2958984375	0.00833333333333333	1	NaN	-13	1	0.7734375
291.5302734375	0.00833333333333333	1	NaN	12	2	0.69921875
294.5888671875	0.00833333333333333	1	NaN	-12	1	0.65625
297.697265625	0.00833333333333333	1	-30	10	2	0.6923828125
300.8046875	0.00833333333333333	1	-30	9	2	0.7529296875
303.6884765625	0.00833333333333333	1	30	11	2	1.26953125
