onset	duration	titr	surround	centre	response	rt
10.41015625	0.00833333333333333	1	NaN	-15	1	2.77734375
15.302734375	0.00833333333333333	1	30	15	2	0.837890625
18.3603515625	0.00833333333333333	1	-30	15	2	0.8359375
21.3447265625	0.00833333333333333	1	30	14	2	0.859375
24.4287109375	0.00833333333333333	1	30	-15	1	0.7353515625
27.5009765625	0.00833333333333333	1	NaN	15	2	0.86328125
30.65234375	0.00833333333333333	1	-30	-15	1	0.919921875
33.7177734375	0.00833333333333333	1	30	13	2	0.7109375
36.77734375	0.00833333333333333	1	30	-14	1	0.7548828125
39.619140625	0.00833333333333333	1	NaN	-14	1	0.6572265625
42.7265625	0.00833333333333333	1	NaN	-13	1	0.7021484375
45.5107421875	0.00833333333333333	1	NaN	-12	1	0.677734375
48.52734375	0.00833333333333333	1	30	12	2	0.7177734375
51.4521484375	0.00833333333333333	1	NaN	-11	1	0.689453125
54.15234375	0.00833333333333333	1	30	11	2	0.5810546875
56.96875	0.00833333333333333	1	NaN	-10	1	0.6123046875
59.759765625	0.00833333333333333	1	30	10	2	0.7333984375
62.6181640625	0.00833333333333333	1	30	9	2	0.5478515625
65.4765625	0.00833333333333333	1	NaN	-9	1	0.640625
68.2431640625	0.00833333333333333	1	-30	-14	1	0.8505859375
71.46875	0.00833333333333333	1	-30	-13	1	0.7373046875
74.41796875	0.00833333333333333	1	NaN	14	2	0.6279296875
77.1181640625	0.00833333333333333	1	-30	-12	1	0.6640625
80.1513671875	0.00833333333333333	1	NaN	-8	1	0.5830078125
83.0517578125	0.00833333333333333	1	30	8	2	0.6904296875
86.068359375	0.00833333333333333	1	NaN	-7	1	0.6259765625
88.9423828125	0.00833333333333333	1	NaN	-6	1	0.6474609375
91.9091796875	0.00833333333333333	1	-30	-11	1	0.75390625
94.7841796875	0.00833333333333333	1	30	7	2	0.646484375
97.517578125	0.00833333333333333	1	NaN	13	2	0.5771484375
100.2841796875	0.00833333333333333	1	-30	-10	1	0.5947265625
103.009765625	0.00833333333333333	1	NaN	-5	1	0.5087890625
105.509765625	0.00833333333333333	1	NaN	12	2	0.529296875
108.1591796875	0.00833333333333333	1	NaN	11	2	0.51953125
110.7509765625	0.00833333333333333	1	-30	-9	1	0.599609375
113.4423828125	0.00833333333333333	1	30	-13	1	0.5322265625
116.083984375	0.00833333333333333	1	NaN	10	2	0.5634765625
118.8427734375	0.00833333333333333	1	NaN	9	2	0.533203125
121.701171875	0.00833333333333333	1	-30	-8	1	0.5947265625
124.3427734375	0.00833333333333333	1	-30	14	2	0.6005859375
127.4169921875	0.00833333333333333	1	-30	-7	1	1.0146484375
130.6259765625	0.00833333333333333	1	-30	-6	1	0.669921875
133.4833984375	0.00833333333333333	1	30	-12	1	0.5166015625
136.0341796875	0.00833333333333333	1	-30	13	2	0.509765625
138.7001953125	0.00833333333333333	1	30	-11	1	0.515625
141.3505859375	0.00833333333333333	1	30	6	2	0.521484375
144.0009765625	0.00833333333333333	1	NaN	8	2	0.5029296875
146.9169921875	0.00833333333333333	1	30	5	2	0.634765625
149.6923828125	0.00833333333333333	1	30	-10	1	0.4677734375
152.2255859375	0.00833333333333333	1	NaN	7	2	0.5107421875
154.900390625	0.00833333333333333	1	-30	12	2	0.4599609375
157.68359375	0.00833333333333333	1	NaN	-4	1	0.5732421875
160.3505859375	0.00833333333333333	1	30	4	2	0.6259765625
163.5166015625	0.00833333333333333	1	-30	-5	1	0.6357421875
166.3330078125	0.00833333333333333	1	-30	-4	1	0.6357421875
169.2421875	0.00833333333333333	1	-30	-3	1	0.6943359375
171.9501953125	0.00833333333333333	1	-30	11	2	0.5546875
174.548828125	0.00833333333333333	1	30	3	2	1.0517578125
178.0751953125	0.00833333333333333	1	-30	-2	2	1.2216796875
181.3994140625	0.00833333333333333	1	NaN	-3	1	0.673828125
184.283203125	0.00833333333333333	1	-30	10	2	0.58203125
187.2578125	0.00833333333333333	1	-30	9	2	0.591796875
190.2490234375	0.00833333333333333	1	NaN	6	2	0.65625
193.0986328125	0.00833333333333333	1	NaN	-2	1	0.52734375
196.107421875	0.00833333333333333	1	NaN	-1	1	0.57421875
198.8330078125	0.00833333333333333	1	30	2	1	0.640625
201.9833984375	0.00833333333333333	1	30	-9	1	0.5703125
204.9326171875	0.00833333333333333	1	30	-8	1	0.5654296875
207.9912109375	0.00833333333333333	1	NaN	5	2	0.603515625
210.6650390625	0.00833333333333333	1	NaN	4	2	0.689453125
213.82421875	0.00833333333333333	1	30	3	2	0.73828125
216.865234375	0.00833333333333333	1	-30	8	2	0.5849609375
219.7900390625	0.00833333333333333	1	NaN	3	2	0.6044921875
222.423828125	0.00833333333333333	1	30	-7	1	0.4990234375
225.0830078125	0.00833333333333333	1	NaN	2	2	0.615234375
228.015625	0.00833333333333333	1	30	2	1	0.5146484375
230.939453125	0.00833333333333333	1	30	-6	1	0.52734375
233.95703125	0.00833333333333333	1	-30	-3	2	0.654296875
236.666015625	0.00833333333333333	1	-30	7	2	0.5537109375
239.3408203125	0.00833333333333333	1	30	-5	1	0.4150390625
242.0234375	0.00833333333333333	1	NaN	0	1	0.916015625
245.3740234375	0.00833333333333333	1	-30	-4	1	0.5810546875
248.4736328125	0.00833333333333333	1	NaN	1	1	0.74609375
251.265625	0.00833333333333333	1	30	-4	1	0.513671875
254.1474609375	0.00833333333333333	1	30	-3	1	0.50390625
256.8486328125	0.00833333333333333	1	NaN	2	2	0.71484375
259.9736328125	0.00833333333333333	1	30	-2	1	0.4697265625
262.70703125	0.00833333333333333	1	-30	-3	1	0.728515625
265.7822265625	0.00833333333333333	1	-30	6	2	0.533203125
268.390625	0.00833333333333333	1	NaN	1	1	0.8056640625
271.5400390625	0.00833333333333333	1	NaN	2	2	0.4560546875
274.490234375	0.00833333333333333	1	30	3	2	0.673828125
277.59765625	0.00833333333333333	1	30	2	2	0.9267578125
280.8896484375	0.00833333333333333	1	-30	5	2	0.5712890625
283.5400390625	0.00833333333333333	1	-30	4	2	0.46484375
286.45703125	0.00833333333333333	1	-30	3	2	0.5
289.240234375	0.00833333333333333	1	NaN	1	2	0.66796875
292.0986328125	0.00833333333333333	1	30	1	2	0.921875
295.556640625	0.00833333333333333	1	NaN	0	2	0.9443359375
298.5478515625	0.00833333333333333	1	NaN	1	2	0.59375
301.5732421875	0.00833333333333333	1	-30	2	2	0.5283203125
304.6064453125	0.00833333333333333	1	30	0	1	0.6865234375
307.71484375	0.00833333333333333	1	-30	-2	2	0.5302734375
320.2314453125	0.00833333333333333	1	NaN	0	1	0.8623046875
323.189453125	0.00833333333333333	1	NaN	1	2	0.583984375
325.939453125	0.00833333333333333	1	-30	-3	2	0.578125
328.8564453125	0.00833333333333333	1	-30	1	2	0.5419921875
331.814453125	0.00833333333333333	1	NaN	0	2	0.6962890625
334.6806640625	0.00833333333333333	1	NaN	-1	2	0.701171875
337.5966796875	0.00833333333333333	1	-30	-4	2	0.6650390625
340.40625	0.00833333333333333	1	NaN	-1	2	0.640625
343.09765625	0.00833333333333333	1	-30	0	2	0.6611328125
345.947265625	0.00833333333333333	1	-30	-1	2	0.626953125
348.947265625	0.00833333333333333	1	30	-1	1	0.67578125
352.072265625	0.00833333333333333	1	NaN	-2	1	0.5029296875
355.0380859375	0.00833333333333333	1	-30	-2	2	0.705078125
357.7890625	0.00833333333333333	1	-30	-3	2	0.6337890625
360.8056640625	0.00833333333333333	1	-30	-5	2	0.712890625
363.8134765625	0.00833333333333333	1	NaN	-1	2	0.609375
366.4716796875	0.00833333333333333	1	-30	-4	2	0.6875
369.4140625	0.00833333333333333	1	NaN	-2	2	0.7373046875
372.447265625	0.00833333333333333	1	NaN	-2	1	0.7763671875
375.546875	0.00833333333333333	1	30	0	1	0.6845703125
378.4384765625	0.00833333333333333	1	-30	-6	1	0.5693359375
381.36328125	0.00833333333333333	1	30	1	1	0.484375
384.2880859375	0.00833333333333333	1	NaN	-3	1	0.4560546875
386.9638671875	0.00833333333333333	1	-30	-5	1	0.5556640625
389.8212890625	0.00833333333333333	1	NaN	-2	1	0.474609375
392.48046875	0.00833333333333333	1	NaN	-1	1	0.4873046875
395.2880859375	0.00833333333333333	1	30	2	1	0.4560546875
398.037109375	0.00833333333333333	1	-30	-4	1	0.5390625
401.0966796875	0.00833333333333333	1	NaN	0	1	0.4638671875
403.9130859375	0.00833333333333333	1	30	3	1	1.03125
407.1953125	0.00833333333333333	1	-30	-3	1	1.1328125
410.75390625	0.00833333333333333	1	NaN	1	1	0.638671875
