onset	duration	titr	surround	centre	response	rt
12.384765625	0.00833333333333333	1	30	15	2	0.8974609375
15.66796875	0.00833333333333333	1	NaN	15	2	0.8544921875
18.5263671875	0.00833333333333333	1	NaN	14	2	0.755859375
21.392578125	0.00833333333333333	1	-30	-15	1	0.505859375
24.3857421875	0.00833333333333333	1	30	-15	1	0.79296875
27.6259765625	0.00833333333333333	1	NaN	-15	1	1.0322265625
31.05078125	0.00833333333333333	1	NaN	13	2	0.7197265625
33.8505859375	0.00833333333333333	1	30	14	2	1.4248046875
37.2509765625	0.00833333333333333	1	-30	15	2	0.7763671875
40.400390625	0.00833333333333333	1	30	-14	1	0.626953125
43.0419921875	0.00833333333333333	1	-30	-14	1	0.857421875
46.1669921875	0.00833333333333333	1	NaN	12	2	0.564453125
48.7666015625	0.00833333333333333	1	NaN	11	2	0.8203125
51.734375	0.00833333333333333	1	NaN	10	2	0.7333984375
54.625	0.00833333333333333	1	30	-13	1	0.5703125
57.2587890625	0.00833333333333333	1	30	13	2	0.65625
60.0341796875	0.00833333333333333	1	-30	-13	1	0.6572265625
62.875	0.00833333333333333	1	-30	-12	1	0.9130859375
65.80078125	0.00833333333333333	1	NaN	-14	1	0.603515625
68.6923828125	0.00833333333333333	1	30	12	2	0.7431640625
71.6591796875	0.00833333333333333	1	NaN	-13	1	0.6806640625
74.5087890625	0.00833333333333333	1	-30	-11	1	1.53515625
78.1171875	0.00833333333333333	1	-30	14	2	0.798828125
81.2998046875	0.00833333333333333	1	NaN	9	2	0.728515625
84.5	0.00833333333333333	1	30	-12	1	0.6962890625
87.18359375	0.00833333333333333	1	NaN	-12	1	0.6845703125
90.2236328125	0.00833333333333333	1	NaN	8	2	0.7568359375
93.400390625	0.00833333333333333	1	-30	13	2	0.7001953125
96.44140625	0.00833333333333333	1	NaN	7	2	0.7392578125
99.2578125	0.00833333333333333	1	30	-11	1	0.603515625
102.0244140625	0.00833333333333333	1	NaN	6	2	0.62890625
104.974609375	0.00833333333333333	1	30	11	2	0.7509765625
107.783203125	0.00833333333333333	1	30	10	2	1.341796875
111.216796875	0.00833333333333333	1	NaN	-11	1	1.4921875
114.9912109375	0.00833333333333333	1	30	9	2	1.40625
118.5576171875	0.00833333333333333	1	30	-10	1	1.16796875
122.0986328125	0.00833333333333333	1	NaN	-10	1	0.8427734375
124.974609375	0.00833333333333333	1	NaN	5	2	2.4794921875
129.5244140625	0.00833333333333333	1	NaN	-9	1	0.857421875
132.498046875	0.00833333333333333	1	NaN	4	2	0.580078125
135.3828125	0.00833333333333333	1	NaN	-8	1	0.4951171875
137.890625	0.00833333333333333	1	-30	-10	1	1.291015625
141.5068359375	0.00833333333333333	1	NaN	-7	1	1.1318359375
145.03125	0.00833333333333333	1	30	-9	1	0.87109375
147.94921875	0.00833333333333333	1	-30	12	2	0.80078125
150.982421875	0.00833333333333333	1	-30	11	2	0.84765625
153.9072265625	0.00833333333333333	1	-30	-9	1	1.3310546875
157.2822265625	0.00833333333333333	1	30	-8	1	0.9970703125
160.5576171875	0.00833333333333333	1	30	-7	1	0.8095703125
163.4736328125	0.00833333333333333	1	NaN	-6	1	0.708984375
166.2490234375	0.00833333333333333	1	-30	10	2	0.8779296875
169.2900390625	0.00833333333333333	1	-30	9	2	0.7568359375
172.2060546875	0.00833333333333333	1	-30	8	2	0.79296875
175.390625	0.00833333333333333	1	30	-6	1	0.873046875
178.20703125	0.00833333333333333	1	-30	-8	2	2.6640625
183.048828125	0.00833333333333333	1	-30	7	2	0.87890625
186.265625	0.00833333333333333	1	NaN	-5	1	1.1181640625
189.7822265625	0.00833333333333333	1	NaN	3	2	0.7060546875
192.5068359375	0.00833333333333333	1	NaN	2	2	0.685546875
195.306640625	0.00833333333333333	1	30	8	2	1.1572265625
198.7900390625	0.00833333333333333	1	-30	-9	2	1.7060546875
202.65625	0.00833333333333333	1	-30	-10	1	1.3681640625
206.115234375	0.00833333333333333	1	30	-5	1	1.27734375
209.8564453125	0.00833333333333333	1	30	7	2	1.34375
213.431640625	0.00833333333333333	1	-30	6	2	0.8564453125
216.72265625	0.00833333333333333	1	-30	5	2	0.830078125
219.8310546875	0.00833333333333333	1	30	6	2	1.41796875
223.5634765625	0.00833333333333333	1	NaN	-4	2	1.8212890625
227.796875	0.00833333333333333	1	30	5	2	1.1796875
231.3388671875	0.00833333333333333	1	30	-4	1	1.0224609375
234.4716796875	0.00833333333333333	1	NaN	-5	1	0.9775390625
237.9140625	0.00833333333333333	1	-30	4	2	0.6318359375
240.5556640625	0.00833333333333333	1	30	-3	1	0.91796875
243.4716796875	0.00833333333333333	1	-30	3	2	1.0419921875
246.5224609375	0.00833333333333333	1	-30	-9	1	1.3349609375
250.1396484375	0.00833333333333333	1	NaN	-4	1	1.8701171875
254.072265625	0.00833333333333333	1	30	-2	1	0.9775390625
257.1298828125	0.00833333333333333	1	-30	2	2	0.7998046875
260.0224609375	0.00833333333333333	1	NaN	1	2	1.1396484375
263.1474609375	0.00833333333333333	1	30	4	2	1.21484375
266.4052734375	0.00833333333333333	1	30	3	2	1.0615234375
269.7294921875	0.00833333333333333	1	30	2	2	1.376953125
273.087890625	0.00833333333333333	1	NaN	0	1	2.1865234375
277.447265625	0.00833333333333333	1	NaN	-3	1	0.9716796875
280.697265625	0.00833333333333333	1	-30	1	2	0.7060546875
283.6474609375	0.00833333333333333	1	-30	-8	2	1.3076171875
286.9541015625	0.00833333333333333	1	-30	-9	1	1.705078125
291.10546875	0.00833333333333333	1	NaN	-2	2	1.009765625
294.546875	0.00833333333333333	1	-30	-8	2	1.4638671875
298.3388671875	0.00833333333333333	1	30	-1	1	1.583984375
301.9296875	0.00833333333333333	1	-30	0	2	0.9375
304.9794921875	0.00833333333333333	1	NaN	-3	2	1.6796875
308.955078125	0.00833333333333333	1	NaN	1	2	0.9208984375
312.3466796875	0.00833333333333333	1	30	0	1	2.216796875
459.9853515625	0.00833333333333333	1	NaN	0	2	1.4794921875
463.8017578125	0.00833333333333333	1	-30	-9	2	1.4072265625
467.501953125	0.00833333333333333	1	30	1	1	0.8349609375
470.4931640625	0.00833333333333333	1	NaN	-1	1	0.9794921875
473.8271484375	0.00833333333333333	1	-30	-10	1	1.2216796875
477.1181640625	0.00833333333333333	1	-30	-9	1	1.1787109375
480.4443359375	0.00833333333333333	1	30	2	1	1.3251953125
483.8857421875	0.00833333333333333	1	-30	-8	1	1.267578125
487.4521484375	0.00833333333333333	1	30	3	2	1.212890625
490.65234375	0.00833333333333333	1	30	1	1	0.9970703125
493.994140625	0.00833333333333333	1	-30	-1	2	0.6875
496.7275390625	0.00833333333333333	1	NaN	0	2	0.9140625
499.96875	0.00833333333333333	1	30	2	1	0.7373046875
503.0185546875	0.00833333333333333	1	30	2	1	0.630859375
506.109375	0.00833333333333333	1	30	3	1	1.4931640625
509.8271484375	0.00833333333333333	1	NaN	-4	1	0.71875
512.78515625	0.00833333333333333	1	NaN	-1	2	0.9052734375
515.71875	0.00833333333333333	1	30	4	1	0.8359375
