onset	duration	titr	surround	centre	response	rt
41.0966796875	0.00833333333333333	1	30	-15	1	2.9228515625
46.587890625	0.00833333333333333	1	30	15	2	2.7119140625
51.6044921875	0.00833333333333333	1	30	14	2	1.6796875
55.8134765625	0.00833333333333333	1	30	13	2	1.166015625
59.529296875	0.00833333333333333	1	NaN	15	2	0.818359375
62.6123046875	0.00833333333333333	1	NaN	14	2	0.759765625
65.5205078125	0.00833333333333333	1	NaN	13	2	0.8271484375
68.462890625	0.00833333333333333	1	NaN	-15	1	0.62109375
71.5458984375	0.00833333333333333	1	NaN	-14	1	0.6982421875
74.412109375	0.00833333333333333	1	-30	15	2	0.8564453125
77.7529296875	0.00833333333333333	1	30	12	2	0.6669921875
80.7705078125	0.00833333333333333	1	NaN	-13	1	0.59375
83.8291015625	0.00833333333333333	1	30	-14	1	0.84765625
86.9443359375	0.00833333333333333	1	-30	14	2	0.66796875
89.9873046875	0.00833333333333333	1	NaN	12	2	0.6337890625
92.8369140625	0.00833333333333333	1	NaN	-12	1	0.6083984375
95.6201171875	0.00833333333333333	1	-30	13	2	0.625
98.6123046875	0.00833333333333333	1	30	11	2	0.65625
101.6875	0.00833333333333333	1	-30	12	2	0.7978515625
104.912109375	0.00833333333333333	1	30	-13	1	0.693359375
107.9619140625	0.00833333333333333	1	-30	-15	1	0.7724609375
110.953125	0.00833333333333333	1	30	-12	1	0.572265625
114.044921875	0.00833333333333333	1	NaN	-11	1	0.45703125
116.8037109375	0.00833333333333333	1	-30	11	2	0.689453125
119.828125	0.00833333333333333	1	30	10	2	0.9052734375
123.2705078125	0.00833333333333333	1	-30	-14	1	0.767578125
126.4365234375	0.00833333333333333	1	NaN	-10	1	0.697265625
129.4873046875	0.00833333333333333	1	NaN	11	2	0.6865234375
132.228515625	0.00833333333333333	1	-30	10	2	0.689453125
135.2275390625	0.00833333333333333	1	30	-11	1	0.5146484375
137.9033203125	0.00833333333333333	1	-30	-13	1	0.703125
140.728515625	0.00833333333333333	1	NaN	-9	1	0.8935546875
143.9697265625	0.00833333333333333	1	NaN	10	2	0.64453125
146.828125	0.00833333333333333	1	30	-10	1	0.5546875
149.427734375	0.00833333333333333	1	NaN	-8	1	0.71484375
152.4697265625	0.00833333333333333	1	30	-9	1	0.544921875
155.51953125	0.00833333333333333	1	-30	9	2	0.54296875
158.26953125	0.00833333333333333	1	30	9	2	0.6015625
161.1533203125	0.00833333333333333	1	NaN	-7	1	0.60546875
164.2861328125	0.00833333333333333	1	NaN	-6	1	0.47265625
167.236328125	0.00833333333333333	1	NaN	-5	2	0.9306640625
170.28515625	0.00833333333333333	1	-30	-12	2	0.6982421875
173.3447265625	0.00833333333333333	1	-30	-13	1	0.7109375
176.2861328125	0.00833333333333333	1	-30	-12	1	0.609375
179.01953125	0.00833333333333333	1	30	8	2	0.7080078125
182.2529296875	0.00833333333333333	1	30	7	2	0.626953125
185.4111328125	0.00833333333333333	1	NaN	-6	2	1.6611328125
189.185546875	0.00833333333333333	1	-30	-11	1	0.5419921875
192.2275390625	0.00833333333333333	1	NaN	-7	1	0.5
195.0439453125	0.00833333333333333	1	-30	8	2	0.67578125
198.2353515625	0.00833333333333333	1	NaN	-6	1	0.701171875
201.126953125	0.00833333333333333	1	30	-8	1	0.6171875
203.9267578125	0.00833333333333333	1	NaN	9	2	0.59375
206.8857421875	0.00833333333333333	1	-30	7	2	0.6826171875
209.984375	0.00833333333333333	1	30	6	2	0.6396484375
212.9765625	0.00833333333333333	1	-30	-10	2	0.591796875
215.7841796875	0.00833333333333333	1	NaN	8	2	0.65625
218.9189453125	0.00833333333333333	1	NaN	-5	2	0.7138671875
222.1689453125	0.00833333333333333	1	-30	6	2	0.5439453125
225.0517578125	0.00833333333333333	1	-30	-11	1	0.9091796875
228.001953125	0.00833333333333333	1	30	-7	1	1.51953125
231.59375	0.00833333333333333	1	30	5	2	0.9833984375
234.9931640625	0.00833333333333333	1	NaN	-6	1	0.81640625
237.9267578125	0.00833333333333333	1	30	4	2	0.9228515625
241.384765625	0.00833333333333333	1	30	-6	1	0.79296875
244.2177734375	0.00833333333333333	1	NaN	-5	1	0.7919921875
247.318359375	0.00833333333333333	1	30	-5	1	0.68359375
250.05859375	0.00833333333333333	1	NaN	7	1	0.83984375
253.1845703125	0.00833333333333333	1	NaN	-4	1	0.537109375
255.91015625	0.00833333333333333	1	30	3	1	0.8603515625
258.9931640625	0.00833333333333333	1	30	4	2	0.849609375
262.1513671875	0.00833333333333333	1	NaN	8	2	0.611328125
265.16796875	0.00833333333333333	1	NaN	-3	1	2.0263671875
269.6181640625	0.00833333333333333	1	30	3	2	0.7763671875
272.576171875	0.00833333333333333	1	NaN	7	2	0.5146484375
275.4345703125	0.00833333333333333	1	NaN	-2	2	0.6962890625
278.68359375	0.00833333333333333	1	NaN	-3	1	0.84765625
282.05078125	0.00833333333333333	1	NaN	6	2	0.640625
284.9921875	0.00833333333333333	1	NaN	-2	2	0.619140625
287.759765625	0.00833333333333333	1	-30	-10	1	1.2919921875
291.5673828125	0.00833333333333333	1	-30	5	2	0.66796875
294.708984375	0.00833333333333333	1	-30	-9	1	0.9658203125
297.767578125	0.00833333333333333	1	30	-4	1	0.8759765625
300.7587890625	0.00833333333333333	1	NaN	5	2	0.5966796875
303.80078125	0.00833333333333333	1	-30	4	2	0.5625
306.9091796875	0.00833333333333333	1	NaN	-3	1	1.126953125
310.2509765625	0.00833333333333333	1	NaN	4	2	0.6083984375
313.1337890625	0.00833333333333333	1	NaN	-2	2	0.5986328125
316.18359375	0.00833333333333333	1	-30	3	2	0.580078125
319.2333984375	0.00833333333333333	1	NaN	3	2	0.802734375
322.1669921875	0.00833333333333333	1	30	-3	1	0.765625
325.3916015625	0.00833333333333333	1	30	2	2	0.6845703125
328.3671875	0.00833333333333333	1	-30	2	2	0.685546875
331.4921875	0.00833333333333333	1	-30	1	2	0.80859375
334.7998046875	0.00833333333333333	1	-30	-8	1	0.8369140625
337.81640625	0.00833333333333333	1	-30	0	2	0.884765625
367.1748046875	0.00833333333333333	1	-30	-1	1	0.9111328125
370.283203125	0.00833333333333333	1	-30	-7	2	0.794921875
373.5	0.00833333333333333	1	-30	0	2	0.9384765625
376.666015625	0.00833333333333333	1	-30	-8	2	1.1005859375
380.1416015625	0.00833333333333333	1	NaN	-3	1	1.1123046875
383.607421875	0.00833333333333333	1	-30	-9	1	1.0947265625
387.06640625	0.00833333333333333	1	-30	-1	2	0.931640625
390.3994140625	0.00833333333333333	1	NaN	2	2	0.6474609375
393.5908203125	0.00833333333333333	1	-30	-2	2	0.591796875
396.732421875	0.00833333333333333	1	-30	-3	2	0.7626953125
399.69921875	0.00833333333333333	1	NaN	1	2	0.6357421875
402.56640625	0.00833333333333333	1	-30	-4	2	0.720703125
405.7314453125	0.00833333333333333	1	NaN	0	2	0.8359375
408.7158203125	0.00833333333333333	1	30	1	2	1.3076171875
412.0908203125	0.00833333333333333	1	30	-2	1	1.6923828125
416.0068359375	0.00833333333333333	1	30	-1	1	0.80859375
419.07421875	0.00833333333333333	1	30	0	1	1.4453125
422.865234375	0.00833333333333333	1	-30	-5	2	0.9501953125
426.3408203125	0.00833333333333333	1	30	1	2	0.794921875
429.2490234375	0.00833333333333333	1	NaN	-1	2	0.623046875
432.123046875	0.00833333333333333	1	NaN	-2	2	0.396484375
434.9326171875	0.00833333333333333	1	-30	-6	2	0.5869140625
437.798828125	0.00833333333333333	1	-30	-7	2	0.7373046875
441.0986328125	0.00833333333333333	1	30	0	2	0.6787109375
444.1484375	0.00833333333333333	1	-30	-8	2	0.740234375
447.2568359375	0.00833333333333333	1	-30	-9	1	0.52734375
450.0146484375	0.00833333333333333	1	-30	-8	2	0.5859375
452.806640625	0.00833333333333333	1	30	0	2	0.6416015625
455.6484375	0.00833333333333333	1	NaN	-3	2	0.6396484375
458.806640625	0.00833333333333333	1	30	-1	2	1.0419921875
462.2646484375	0.00833333333333333	1	-30	-9	2	0.7119140625
465.20703125	0.00833333333333333	1	-30	-10	2	0.6982421875
468.4140625	0.00833333333333333	1	30	-1	2	0.5390625
471.123046875	0.00833333333333333	1	-30	-11	2	0.91015625
474.615234375	0.00833333333333333	1	30	-2	2	0.75390625
477.58203125	0.00833333333333333	1	-30	-8	2	0.7392578125
480.46484375	0.00833333333333333	1	-30	-12	2	0.849609375
483.873046875	0.00833333333333333	1	-30	-9	2	0.96875
487.064453125	0.00833333333333333	1	-30	-10	1	0.7294921875
489.8984375	0.00833333333333333	1	30	-3	1	0.767578125
492.7314453125	0.00833333333333333	1	-30	-13	1	0.6064453125
495.814453125	0.00833333333333333	1	-30	-9	1	0.67578125
498.8232421875	0.00833333333333333	1	30	-2	2	1.306640625
502.646484375	0.00833333333333333	1	30	-2	1	0.931640625
