onset	duration	titr	surround	centre	response	rt
399.0673828125	0.00833333333333333	1	-30	-15	1	1.4599609375
402.9853515625	0.00833333333333333	1	30	15	2	0.8623046875
406.0439453125	0.00833333333333333	1	30	14	2	0.66796875
409.091796875	0.00833333333333333	1	30	13	2	0.5244140625
411.90234375	0.00833333333333333	1	NaN	-15	1	0.6416015625
414.6259765625	0.00833333333333333	1	-30	15	1	0.501953125
417.3427734375	0.00833333333333333	1	30	-15	2	0.5380859375
420.017578125	0.00833333333333333	1	-30	-14	1	0.470703125
422.66796875	0.00833333333333333	1	30	12	2	0.46875
425.5341796875	0.00833333333333333	1	NaN	15	2	0.5068359375
428.30078125	0.00833333333333333	1	NaN	-14	1	0.4599609375
431.0927734375	0.00833333333333333	1	NaN	-13	1	0.564453125
433.734375	0.00833333333333333	1	NaN	-12	2	0.38671875
436.150390625	0.00833333333333333	1	30	-16	2	0.4267578125
439.0009765625	0.00833333333333333	1	NaN	-13	1	0.49609375
441.6591796875	0.00833333333333333	1	NaN	14	2	0.4296875
444.5830078125	0.00833333333333333	1	30	-17	2	0.505859375
447.55078125	0.00833333333333333	1	NaN	-12	1	0.490234375
450.2998046875	0.00833333333333333	1	30	-18	2	0.3896484375
452.8505859375	0.00833333333333333	1	30	11	2	0.52734375
455.4755859375	0.00833333333333333	1	NaN	-11	1	0.4619140625
458.2919921875	0.00833333333333333	1	NaN	-10	1	0.4853515625
461.025390625	0.00833333333333333	1	30	10	2	0.5283203125
463.833984375	0.00833333333333333	1	NaN	13	2	0.50390625
466.525390625	0.00833333333333333	1	NaN	-9	1	0.4609375
469.05859375	0.00833333333333333	1	30	9	2	0.447265625
471.5419921875	0.00833333333333333	1	NaN	-8	1	0.5166015625
474.3251953125	0.00833333333333333	1	NaN	-7	1	0.533203125
476.8916015625	0.00833333333333333	1	NaN	-6	1	0.4462890625
479.6748046875	0.00833333333333333	1	-30	-13	1	0.51171875
482.6669921875	0.00833333333333333	1	-30	16	1	0.935546875
486.150390625	0.00833333333333333	1	30	8	2	0.5
488.6826171875	0.00833333333333333	1	30	7	2	0.48046875
491.2919921875	0.00833333333333333	1	-30	17	1	0.4951171875
494.2587890625	0.00833333333333333	1	NaN	-5	1	0.4404296875
496.68359375	0.00833333333333333	1	NaN	12	2	0.50390625
499.4501953125	0.00833333333333333	1	-30	-12	1	0.5126953125
502.3828125	0.00833333333333333	1	-30	18	1	0.484375
505.166015625	0.00833333333333333	1	30	-19	2	0.4609375
507.7080078125	0.00833333333333333	1	-30	19	1	0.359375
510.2998046875	0.00833333333333333	1	-30	20	1	0.51171875
513.166015625	0.00833333333333333	1	-30	21	1	0.4619140625
515.8583984375	0.00833333333333333	1	NaN	-4	1	0.544921875
518.541015625	0.00833333333333333	1	NaN	-3	1	0.5263671875
521.474609375	0.00833333333333333	1	NaN	-2	1	0.4970703125
524.125	0.00833333333333333	1	NaN	11	2	0.390625
526.8408203125	0.00833333333333333	1	NaN	-1	1	0.5234375
529.783203125	0.00833333333333333	1	NaN	0	1	0.556640625
532.490234375	0.00833333333333333	1	NaN	10	2	0.6337890625
535.2822265625	0.00833333333333333	1	-30	-11	1	0.5224609375
538.1240234375	0.00833333333333333	1	30	6	2	0.896484375
541.298828125	0.00833333333333333	1	NaN	1	2	0.7294921875
544.44140625	0.00833333333333333	1	NaN	9	2	0.451171875
547.3994140625	0.00833333333333333	1	-30	-10	1	0.5009765625
550.32421875	0.00833333333333333	1	-30	-9	1	0.5283203125
553.3154296875	0.00833333333333333	1	30	-20	2	0.513671875
555.8828125	0.00833333333333333	1	NaN	0	2	0.833984375
558.7744140625	0.00833333333333333	1	NaN	8	2	0.447265625
561.6494140625	0.00833333333333333	1	-30	-8	1	0.4599609375
564.4228515625	0.00833333333333333	1	-30	-7	1	0.4140625
566.982421875	0.00833333333333333	1	NaN	7	2	0.5185546875
569.7490234375	0.00833333333333333	1	-30	-6	1	0.4404296875
572.57421875	0.00833333333333333	1	30	-21	2	0.623046875
575.265625	0.00833333333333333	1	NaN	6	2	0.4677734375
577.865234375	0.00833333333333333	1	-30	22	1	0.4453125
580.5576171875	0.00833333333333333	1	30	-22	2	0.5048828125
583.5322265625	0.00833333333333333	1	NaN	5	2	0.41796875
586.240234375	0.00833333333333333	1	30	5	2	0.421875
588.8564453125	0.00833333333333333	1	30	4	2	0.501953125
591.5234375	0.00833333333333333	1	30	3	2	0.40234375
594.2568359375	0.00833333333333333	1	30	2	2	0.4453125
597.21484375	0.00833333333333333	1	NaN	4	2	0.439453125
599.873046875	0.00833333333333333	1	-30	23	1	0.3974609375
602.4404296875	0.00833333333333333	1	NaN	3	2	0.4375
605.2568359375	0.00833333333333333	1	NaN	2	2	0.494140625
607.9404296875	0.00833333333333333	1	NaN	1	2	0.40234375
610.7734375	0.00833333333333333	1	-30	-5	1	0.43359375
613.6318359375	0.00833333333333333	1	-30	-4	1	0.4228515625
616.3896484375	0.00833333333333333	1	30	1	2	0.5849609375
619.2978515625	0.00833333333333333	1	NaN	0	2	0.9892578125
622.4150390625	0.00833333333333333	1	-30	-3	1	0.4404296875
625.2646484375	0.00833333333333333	1	NaN	-1	2	0.5908203125
628.2646484375	0.00833333333333333	1	NaN	-2	1	0.783203125
631.439453125	0.00833333333333333	1	30	0	2	0.5283203125
634.3818359375	0.00833333333333333	1	-30	24	1	0.5380859375
637.21484375	0.00833333333333333	1	-30	-2	1	0.568359375
639.9150390625	0.00833333333333333	1	NaN	-1	2	1.0126953125
643.4140625	0.00833333333333333	1	-30	-1	1	0.4736328125
645.880859375	0.00833333333333333	1	NaN	-2	2	0.8388671875
649.0146484375	0.00833333333333333	1	-30	25	1	0.5771484375
651.6142578125	0.00833333333333333	1	-30	0	1	0.43359375
654.2314453125	0.00833333333333333	1	-30	26	1	0.5126953125
656.9228515625	0.00833333333333333	1	30	-1	2	0.4697265625
659.5390625	0.00833333333333333	1	30	-2	2	0.4931640625
662.4306640625	0.00833333333333333	1	NaN	-3	1	0.505859375
665.3310546875	0.00833333333333333	1	30	-3	2	0.4052734375
668.197265625	0.00833333333333333	1	NaN	-2	1	0.595703125
671.0224609375	0.00833333333333333	1	NaN	-1	1	0.5380859375
674.10546875	0.00833333333333333	1	-30	27	1	1.9443359375
677.99609375	0.00833333333333333	1	-30	28	2	1.0771484375
681.3388671875	0.00833333333333333	1	-30	1	2	0.8779296875
684.630859375	0.00833333333333333	1	30	-23	1	0.7060546875
687.6220703125	0.00833333333333333	1	NaN	0	2	0.72265625
690.6796875	0.00833333333333333	1	30	-22	1	0.76953125
693.455078125	0.00833333333333333	1	-30	27	2	0.5068359375
696.2470703125	0.00833333333333333	1	NaN	-1	1	0.71484375
723.6220703125	0.00833333333333333	1	-30	26	2	0.716796875
726.6962890625	0.00833333333333333	1	-30	0	2	0.7138671875
729.5712890625	0.00833333333333333	1	30	-21	1	0.431640625
732.2548828125	0.00833333333333333	1	NaN	-1	2	0.65234375
734.9794921875	0.00833333333333333	1	30	-4	1	0.51953125
737.796875	0.00833333333333333	1	NaN	0	2	0.7177734375
740.7958984375	0.00833333333333333	1	-30	25	2	0.5029296875
743.6630859375	0.00833333333333333	1	NaN	-2	1	0.5478515625
746.6708984375	0.00833333333333333	1	NaN	-1	1	0.564453125
749.25390625	0.00833333333333333	1	NaN	0	2	0.3974609375
752.0966796875	0.00833333333333333	1	-30	24	2	0.474609375
754.904296875	0.00833333333333333	1	NaN	-1	2	0.626953125
757.771484375	0.00833333333333333	1	30	-20	1	0.568359375
760.6201171875	0.00833333333333333	1	-30	-1	2	0.4638671875
763.3046875	0.00833333333333333	1	-30	23	2	0.5546875
766.029296875	0.00833333333333333	1	NaN	-1	1	0.4462890625
768.896484375	0.00833333333333333	1	-30	22	2	0.4833984375
771.49609375	0.00833333333333333	1	NaN	-2	1	0.4677734375
774.1875	0.00833333333333333	1	30	-3	1	0.78515625
777.1376953125	0.00833333333333333	1	-30	21	2	0.498046875
779.6875	0.00833333333333333	1	NaN	0	2	0.708984375
782.6123046875	0.00833333333333333	1	30	-19	1	0.4638671875
785.212890625	0.00833333333333333	1	30	-2	1	0.439453125
788.095703125	0.00833333333333333	1	-30	20	2	0.396484375
790.9287109375	0.00833333333333333	1	-30	19	2	0.4921875
793.4453125	0.00833333333333333	1	-30	18	2	0.4794921875
796.3291015625	0.00833333333333333	1	NaN	-1	1	0.36328125
798.8369140625	0.00833333333333333	1	NaN	-1	2	0.271484375
801.3203125	0.00833333333333333	1	-30	-2	2	0.4052734375
804.287109375	0.00833333333333333	1	30	-1	1	0.509765625
806.8125	0.00833333333333333	1	30	-18	1	0.4326171875
809.662109375	0.00833333333333333	1	30	-17	1	0.4150390625
812.228515625	0.00833333333333333	1	-30	-3	2	0.4013671875
814.7373046875	0.00833333333333333	1	30	-16	1	0.4365234375
817.52734375	0.00833333333333333	1	30	-15	1	0.4619140625
820.4541015625	0.00833333333333333	1	-30	-4	2	0.423828125
823.0537109375	0.00833333333333333	1	30	0	1	0.4638671875
825.9033203125	0.00833333333333333	1	-30	-5	2	0.3583984375
