onset	duration	titr	surround	centre	response	rt
9.9111328125	0.00833333333333333	1	-30	15	1	38.9169921875
51.2177734375	0.00833333333333333	1	NaN	-15	1	2.6103515625
56.0009765625	0.00833333333333333	1	NaN	15	2	4.5390625
62.841796875	0.00833333333333333	1	-30	-15	1	3.08203125
68.3095703125	0.00833333333333333	1	-30	16	1	2.119140625
72.966796875	0.00833333333333333	1	30	15	2	1.58203125
76.92578125	0.00833333333333333	1	30	-15	2	2.119140625
81.083984375	0.00833333333333333	1	NaN	-14	1	1.4892578125
85.0595703125	0.00833333333333333	1	NaN	-13	1	1.5537109375
89.0673828125	0.00833333333333333	1	NaN	-12	1	2.337890625
93.701171875	0.00833333333333333	1	30	-16	2	1.8642578125
97.625	0.00833333333333333	1	30	14	2	2.65234375
102.5751953125	0.00833333333333333	1	-30	17	1	2.734375
107.3837890625	0.00833333333333333	1	NaN	14	2	1.517578125
111.208984375	0.00833333333333333	1	NaN	-11	1	93.3994140625
206.7568359375	0.00833333333333333	1	-30	-14	2	3.4521484375
212.4326171875	0.00833333333333333	1	-30	-15	1	3.5126953125
218.08203125	0.00833333333333333	1	-30	-14	1	4.103515625
224.357421875	0.00833333333333333	1	-30	18	2	2.0673828125
228.548828125	0.00833333333333333	1	-30	-13	1	2.5087890625
233.2470703125	0.00833333333333333	1	30	-17	1	1.0908203125
236.490234375	0.00833333333333333	1	-30	17	2	0.8876953125
239.8564453125	0.00833333333333333	1	-30	16	2	0.697265625
243.0478515625	0.00833333333333333	1	NaN	-10	1	0.8896484375
246.298828125	0.00833333333333333	1	30	13	2	0.71875
249.3896484375	0.00833333333333333	1	NaN	-9	1	1.33203125
253.15625	0.00833333333333333	1	30	-16	1	0.6943359375
256.22265625	0.00833333333333333	1	NaN	13	2	0.99609375
259.6728515625	0.00833333333333333	1	30	-15	1	0.6337890625
262.5068359375	0.00833333333333333	1	30	-14	1	0.591796875
265.2060546875	0.00833333333333333	1	30	-13	1	0.6044921875
268.23046875	0.00833333333333333	1	30	-12	1	0.6201171875
271.181640625	0.00833333333333333	1	NaN	12	2	0.716796875
274.189453125	0.00833333333333333	1	-30	-12	1	0.6611328125
277.0810546875	0.00833333333333333	1	NaN	11	2	0.5537109375
279.8896484375	0.00833333333333333	1	NaN	10	2	1.185546875
283.1142578125	0.00833333333333333	1	-30	-11	1	0.8251953125
286.4228515625	0.00833333333333333	1	NaN	9	2	0.6123046875
289.498046875	0.00833333333333333	1	NaN	8	2	1.2890625
293.138671875	0.00833333333333333	1	NaN	7	2	1.865234375
297.4140625	0.00833333333333333	1	NaN	-8	1	1.6455078125
301.439453125	0.00833333333333333	1	30	12	2	1.3564453125
305.2802734375	0.00833333333333333	1	-30	-10	1	1.7880859375
