onset	duration	titr	surround	centre	response	rt
45.599609375	0.00833333333333333	1	-30	-15	1	2.31640625
50.44140625	0.00833333333333333	1	-30	15	1	1.3388671875
54.4091796875	0.00833333333333333	1	-30	16	1	1.5791015625
58.08203125	0.00833333333333333	1	30	15	2	1.330078125
61.5322265625	0.00833333333333333	1	NaN	15	1	1.2958984375
65.2998046875	0.00833333333333333	1	30	-15	2	1.12890625
68.724609375	0.00833333333333333	1	-30	-14	2	1.208984375
72.408203125	0.00833333333333333	1	30	14	1	1.068359375
75.8916015625	0.00833333333333333	1	30	-16	2	1.025390625
79.3662109375	0.00833333333333333	1	-30	17	1	34.49609375
116.173828125	0.00833333333333333	1	30	15	1	1.568359375
119.83203125	0.00833333333333333	1	-30	18	1	3.3505859375
125.6240234375	0.00833333333333333	1	30	16	1	2.0625
129.931640625	0.00833333333333333	1	NaN	-15	1	1.9951171875
134.4072265625	0.00833333333333333	1	30	17	2	1.83203125
138.423828125	0.00833333333333333	1	-30	-15	1	1.9990234375
142.6650390625	0.00833333333333333	1	NaN	16	2	1.654296875
146.681640625	0.00833333333333333	1	NaN	15	1	11.2294921875
160.314453125	0.00833333333333333	1	-30	-14	1	1.533203125
164.1220703125	0.00833333333333333	1	NaN	-14	1	2.2216796875
168.806640625	0.00833333333333333	1	-30	-13	1	0.8408203125
171.73046875	0.00833333333333333	1	NaN	-13	1	0.7177734375
174.90625	0.00833333333333333	1	-30	19	2	1.1181640625
178.1650390625	0.00833333333333333	1	NaN	-12	1	1.107421875
181.4228515625	0.00833333333333333	1	30	-17	1	0.9130859375
184.73046875	0.00833333333333333	1	30	-16	1	0.93359375
187.8896484375	0.00833333333333333	1	NaN	-11	1	0.630859375
190.90625	0.00833333333333333	1	30	-15	1	0.822265625
193.830078125	0.00833333333333333	1	-30	18	2	0.802734375
196.6728515625	0.00833333333333333	1	-30	17	2	0.5361328125
199.6298828125	0.00833333333333333	1	NaN	16	2	0.4111328125
202.4892578125	0.00833333333333333	1	-30	-12	2	0.919921875
205.9140625	0.00833333333333333	1	NaN	-10	1	2.0947265625
210.380859375	0.00833333333333333	1	NaN	15	2	0.740234375
213.40625	0.00833333333333333	1	30	-14	1	0.9951171875
216.60546875	0.00833333333333333	1	NaN	14	2	0.8603515625
219.505859375	0.00833333333333333	1	NaN	-9	1	0.767578125
222.7216796875	0.00833333333333333	1	30	16	2	1.4560546875
226.330078125	0.00833333333333333	1	NaN	-8	1	1.1591796875
229.60546875	0.00833333333333333	1	30	15	2	1.3642578125
233.1220703125	0.00833333333333333	1	-30	-13	1	1.7998046875
237.12109375	0.00833333333333333	1	NaN	-7	1	1.48046875
240.796875	0.00833333333333333	1	30	-13	1	1.029296875
244.2802734375	0.00833333333333333	1	NaN	13	2	1.09765625
247.5966796875	0.00833333333333333	1	NaN	12	2	0.7255859375
250.5380859375	0.00833333333333333	1	-30	-12	2	1.3203125
254.1630859375	0.00833333333333333	1	NaN	-6	2	1.19140625
257.697265625	0.00833333333333333	1	-30	16	2	0.7451171875
260.5634765625	0.00833333333333333	1	30	14	2	1.6474609375
264.7216796875	0.00833333333333333	1	-30	-13	2	1.2177734375
268.4296875	0.00833333333333333	1	NaN	-7	2	1.1337890625
271.6630859375	0.00833333333333333	1	-30	15	2	0.7080078125
274.7626953125	0.00833333333333333	1	NaN	-8	1	0.96875
277.75390625	0.00833333333333333	1	-30	14	1	1.376953125
281.296875	0.00833333333333333	1	-30	15	2	0.890625
284.2626953125	0.00833333333333333	1	-30	14	2	0.7724609375
287.4130859375	0.00833333333333333	1	NaN	11	2	0.89453125
290.5380859375	0.00833333333333333	1	-30	-14	1	1.08203125
293.8701171875	0.00833333333333333	1	-30	-13	1	2.197265625
298.845703125	0.00833333333333333	1	NaN	-7	1	1.1181640625
302.337890625	0.00833333333333333	1	-30	-12	1	1.841796875
306.4873046875	0.00833333333333333	1	-30	-11	1	0.9970703125
309.845703125	0.00833333333333333	1	-30	-10	1	1.0625
313.1123046875	0.00833333333333333	1	30	-12	1	0.8837890625
316.3037109375	0.00833333333333333	1	30	-11	1	0.62890625
319.462890625	0.00833333333333333	1	30	13	2	0.8212890625
322.6279296875	0.00833333333333333	1	30	12	1	0.9287109375
325.64453125	0.00833333333333333	1	30	13	1	0.8798828125
328.6953125	0.00833333333333333	1	NaN	-6	1	0.6376953125
331.552734375	0.00833333333333333	1	30	14	1	0.65234375
334.4873046875	0.00833333333333333	1	NaN	-5	1	0.6455078125
337.3115234375	0.00833333333333333	1	-30	13	2	1.1494140625
340.7451171875	0.00833333333333333	1	-30	12	2	0.6279296875
343.419921875	0.00833333333333333	1	30	15	1	1.337890625
362.3857421875	0.00833333333333333	1	30	-10	1	0.7646484375
365.39453125	0.00833333333333333	1	NaN	10	2	1.35546875
369.236328125	0.00833333333333333	1	-30	11	2	0.921875
372.6357421875	0.00833333333333333	1	30	16	2	0.5625
375.5859375	0.00833333333333333	1	-30	10	2	0.65234375
378.65234375	0.00833333333333333	1	30	15	2	1.322265625
382.310546875	0.00833333333333333	1	30	14	2	1.640625
386.4443359375	0.00833333333333333	1	-30	9	2	0.5546875
389.02734375	0.00833333333333333	1	-30	-9	2	1.3232421875
392.744140625	0.00833333333333333	1	30	13	2	1.0869140625
396.0693359375	0.00833333333333333	1	-30	8	2	0.994140625
399.3359375	0.00833333333333333	1	NaN	9	2	0.54296875
402.193359375	0.00833333333333333	1	-30	-10	2	0.58984375
404.810546875	0.00833333333333333	1	NaN	8	2	0.6845703125
407.5439453125	0.00833333333333333	1	30	12	2	0.7275390625
410.318359375	0.00833333333333333	1	-30	7	2	0.5849609375
413.1025390625	0.00833333333333333	1	-30	-11	1	0.9375
416.2275390625	0.00833333333333333	1	NaN	7	1	1.15234375
419.4697265625	0.00833333333333333	1	-30	-10	1	0.6337890625
422.2197265625	0.00833333333333333	1	30	11	1	0.564453125
425.1689453125	0.00833333333333333	1	NaN	8	2	0.8388671875
428.1611328125	0.00833333333333333	1	-30	6	1	1.2392578125
431.5947265625	0.00833333333333333	1	30	-9	1	0.60546875
434.2197265625	0.00833333333333333	1	-30	7	2	0.701171875
437.060546875	0.00833333333333333	1	30	12	1	0.6279296875
440.177734375	0.00833333333333333	1	-30	-9	1	0.958984375
443.3271484375	0.00833333333333333	1	-30	-8	1	0.6416015625
446.0439453125	0.00833333333333333	1	NaN	7	2	0.7890625
448.89453125	0.00833333333333333	1	30	-8	1	0.642578125
451.65234375	0.00833333333333333	1	30	13	1	1.1806640625
455.27734375	0.00833333333333333	1	30	-7	1	0.7001953125
458.494140625	0.00833333333333333	1	-30	-7	1	0.771484375
461.5771484375	0.00833333333333333	1	-30	-6	1	0.759765625
464.810546875	0.00833333333333333	1	30	14	1	0.630859375
467.935546875	0.00833333333333333	1	NaN	6	2	2.76171875
473.21875	0.00833333333333333	1	30	15	1	1.03125
476.443359375	0.00833333333333333	1	-30	6	2	0.646484375
479.5107421875	0.00833333333333333	1	30	16	2	0.634765625
482.3515625	0.00833333333333333	1	NaN	5	2	0.626953125
485.1435546875	0.00833333333333333	1	NaN	4	2	0.5146484375
488.03515625	0.00833333333333333	1	-30	-5	2	1.0791015625
491.2265625	0.00833333333333333	1	30	15	2	1.7841796875
495.201171875	0.00833333333333333	1	-30	5	2	0.5771484375
497.8681640625	0.00833333333333333	1	30	-6	1	0.6787109375
500.626953125	0.00833333333333333	1	30	-5	1	0.65625
503.626953125	0.00833333333333333	1	-30	4	1	1.1201171875
506.943359375	0.00833333333333333	1	NaN	-4	1	0.5869140625
510.0595703125	0.00833333333333333	1	NaN	3	1	1.2392578125
513.5849609375	0.00833333333333333	1	-30	-6	1	0.59375
516.3017578125	0.00833333333333333	1	30	-4	1	0.62109375
519.4599609375	0.00833333333333333	1	30	14	1	2.6708984375
524.3515625	0.00833333333333333	1	NaN	4	2	0.7958984375
527.609375	0.00833333333333333	1	NaN	-3	2	0.650390625
531.3251953125	0.00833333333333333	1	NaN	3	1	1.8388671875
