onset	duration	titr	surround	centre	response	rt
94.9091796875	0.00833333333333333	1	-30	15	2	4.2880859375
101.54296875	0.00833333333333333	1	30	-15	2	1.150390625
105.1845703125	0.00833333333333333	1	NaN	15	2	1.484375
109.1513671875	0.00833333333333333	1	-30	14	2	1.8134765625
113.384765625	0.00833333333333333	1	-30	-15	2	1.96484375
117.6767578125	0.00833333333333333	1	30	15	1	1.13671875
121.234375	0.00833333333333333	1	30	16	1	1.203125
124.66015625	0.00833333333333333	1	-30	13	2	0.7451171875
127.7421875	0.00833333333333333	1	-30	-16	1	0.9189453125
130.8759765625	0.00833333333333333	1	30	-16	1	0.681640625
133.7841796875	0.00833333333333333	1	30	-15	1	0.7021484375
136.7177734375	0.00833333333333333	1	-30	12	2	0.6318359375
139.767578125	0.00833333333333333	1	30	-14	1	0.638671875
142.91796875	0.00833333333333333	1	30	17	2	0.6884765625
145.701171875	0.00833333333333333	1	NaN	-15	1	0.5927734375
148.701171875	0.00833333333333333	1	30	16	2	1.0009765625
151.8330078125	0.00833333333333333	1	-30	11	2	0.708984375
154.8837890625	0.00833333333333333	1	NaN	-14	1	0.5390625
157.9423828125	0.00833333333333333	1	NaN	-13	1	0.65625
161.0341796875	0.00833333333333333	1	30	-13	1	0.7001953125
163.8837890625	0.00833333333333333	1	NaN	14	2	0.794921875
166.93359375	0.00833333333333333	1	NaN	-12	1	0.6650390625
169.6337890625	0.00833333333333333	1	NaN	13	2	0.701171875
172.7255859375	0.00833333333333333	1	-30	-15	1	0.8251953125
175.7080078125	0.00833333333333333	1	NaN	12	2	0.6513671875
178.841796875	0.00833333333333333	1	NaN	11	2	0.7490234375
182.1005859375	0.00833333333333333	1	-30	10	2	0.72265625
185.0419921875	0.00833333333333333	1	30	-12	1	0.701171875
188.033203125	0.00833333333333333	1	30	-11	1	0.75
191.208984375	0.00833333333333333	1	-30	-14	2	1.0146484375
194.3837890625	0.00833333333333333	1	30	-10	1	0.7197265625
197.5751953125	0.00833333333333333	1	NaN	-11	1	0.9921875
200.7998046875	0.00833333333333333	1	-30	-15	1	0.759765625
204.015625	0.00833333333333333	1	-30	9	2	0.6806640625
207.0087890625	0.00833333333333333	1	NaN	-10	1	0.615234375
210.0498046875	0.00833333333333333	1	30	-9	1	0.5986328125
212.875	0.00833333333333333	1	NaN	-9	1	0.6533203125
215.9580078125	0.00833333333333333	1	-30	8	2	1.1630859375
219.5498046875	0.00833333333333333	1	30	15	2	1.9951171875
223.6328125	0.00833333333333333	1	NaN	10	2	1.2880859375
227.375	0.00833333333333333	1	NaN	9	2	1.1943359375
230.6328125	0.00833333333333333	1	NaN	8	2	0.9765625
234.0498046875	0.00833333333333333	1	-30	7	2	0.767578125
237.125	0.00833333333333333	1	-30	6	2	1.1162109375
240.474609375	0.00833333333333333	1	-30	5	2	1.0869140625
243.7578125	0.00833333333333333	1	-30	4	2	0.8515625
246.908203125	0.00833333333333333	1	NaN	7	2	0.9736328125
249.982421875	0.00833333333333333	1	NaN	6	2	1.291015625
253.798828125	0.00833333333333333	1	NaN	5	2	1.1865234375
257.2158203125	0.00833333333333333	1	-30	-14	1	1.2578125
260.890625	0.00833333333333333	1	NaN	4	2	1.34375
264.7578125	0.00833333333333333	1	30	-8	1	0.5966796875
267.7490234375	0.00833333333333333	1	30	-7	1	0.701171875
270.482421875	0.00833333333333333	1	-30	3	2	0.9677734375
273.541015625	0.00833333333333333	1	30	14	2	0.8935546875
276.8818359375	0.00833333333333333	1	NaN	3	2	0.80859375
280.07421875	0.00833333333333333	1	-30	-13	1	0.6240234375
283.107421875	0.00833333333333333	1	NaN	-8	1	0.84765625
286.380859375	0.00833333333333333	1	-30	2	2	0.7822265625
289.5908203125	0.00833333333333333	1	-30	-12	1	0.6923828125
292.365234375	0.00833333333333333	1	-30	1	2	0.7333984375
295.5400390625	0.00833333333333333	1	30	13	1	1.1826171875
298.7822265625	0.00833333333333333	1	30	-6	1	0.5966796875
301.3984375	0.00833333333333333	1	NaN	2	2	0.8369140625
304.46484375	0.00833333333333333	1	30	-5	1	0.5625
307.46484375	0.00833333333333333	1	-30	-11	2	0.794921875
310.515625	0.00833333333333333	1	-30	-12	1	0.6796875
313.3818359375	0.00833333333333333	1	30	-4	1	0.57421875
315.9482421875	0.00833333333333333	1	NaN	-7	1	0.6630859375
318.689453125	0.00833333333333333	1	-30	0	2	0.6826171875
321.46484375	0.00833333333333333	1	30	-3	1	0.546875
324.498046875	0.00833333333333333	1	NaN	-6	1	0.6015625
327.4228515625	0.00833333333333333	1	-30	-11	1	1.4130859375
330.9150390625	0.00833333333333333	1	30	14	2	1.033203125
334.47265625	0.00833333333333333	1	NaN	1	2	0.8837890625
337.5234375	0.00833333333333333	1	-30	-10	1	0.9453125
340.8232421875	0.00833333333333333	1	-30	-1	2	1.0048828125
344.373046875	0.00833333333333333	1	-30	-9	2	1.1357421875
347.6728515625	0.00833333333333333	1	30	-2	1	0.6279296875
350.65625	0.00833333333333333	1	30	13	2	0.8525390625
353.9052734375	0.00833333333333333	1	30	12	1	1.083984375
357.322265625	0.00833333333333333	1	30	13	2	1.37109375
361.2060546875	0.00833333333333333	1	NaN	-5	1	0.775390625
364.3046875	0.00833333333333333	1	-30	-2	2	0.7490234375
367.53125	0.00833333333333333	1	30	-1	1	0.59375
370.2646484375	0.00833333333333333	1	30	12	2	1.9248046875
374.5810546875	0.00833333333333333	1	-30	-10	1	0.9130859375
377.6142578125	0.00833333333333333	1	NaN	-4	1	0.8154296875
380.505859375	0.00833333333333333	1	30	11	1	0.99609375
383.9228515625	0.00833333333333333	1	NaN	-3	1	1.2509765625
387.34765625	0.00833333333333333	1	30	12	2	1.0419921875
390.7470703125	0.00833333333333333	1	NaN	-2	1	1.21875
394.4560546875	0.00833333333333333	1	30	0	1	0.765625
422.263671875	0.00833333333333333	1	30	11	2	1.0234375
425.4208984375	0.00833333333333333	1	-30	-9	1	0.9140625
428.7958984375	0.00833333333333333	1	-30	-3	2	0.7236328125
431.5380859375	0.00833333333333333	1	30	10	1	1.2373046875
435.013671875	0.00833333333333333	1	-30	-4	2	0.76953125
437.9453125	0.00833333333333333	1	-30	-5	2	0.7822265625
441.0380859375	0.00833333333333333	1	NaN	-1	1	0.5771484375
443.9296875	0.00833333333333333	1	30	11	1	0.8701171875
446.9384765625	0.00833333333333333	1	30	1	1	0.5498046875
449.8798828125	0.00833333333333333	1	-30	-8	2	0.744140625
452.9287109375	0.00833333333333333	1	30	12	2	0.6875
455.9130859375	0.00833333333333333	1	NaN	0	1	1.2548828125
459.23828125	0.00833333333333333	1	NaN	0	1	1.2421875
462.6796875	0.00833333333333333	1	NaN	1	1	0.904296875
466.1044921875	0.00833333333333333	1	NaN	2	1	0.927734375
469.470703125	0.00833333333333333	1	-30	-6	1	1.8974609375
473.7958984375	0.00833333333333333	1	NaN	3	2	1.1005859375
477.1630859375	0.00833333333333333	1	30	11	1	1.25390625
480.6455078125	0.00833333333333333	1	30	2	1	0.69921875
483.4873046875	0.00833333333333333	1	NaN	1	1	1.08984375
486.904296875	0.00833333333333333	1	-30	-5	2	1.208984375
490.412109375	0.00833333333333333	1	-30	-6	2	1.4287109375
493.9619140625	0.00833333333333333	1	NaN	2	2	1.455078125
497.7529296875	0.00833333333333333	1	NaN	2	2	1.12890625
501.203125	0.00833333333333333	1	NaN	1	2	1.0791015625
504.6875	0.00833333333333333	1	NaN	1	2	1.0185546875
507.7861328125	0.00833333333333333	1	-30	-7	2	0.9912109375
510.9541015625	0.00833333333333333	1	-30	-8	2	1.3603515625
514.845703125	0.00833333333333333	1	-30	-9	2	0.9560546875
517.88671875	0.00833333333333333	1	NaN	0	2	0.947265625
521.3955078125	0.00833333333333333	1	NaN	0	1	1.1904296875
525.1533203125	0.00833333333333333	1	NaN	1	2	1.0009765625
528.470703125	0.00833333333333333	1	NaN	0	2	0.763671875
531.6865234375	0.00833333333333333	1	30	3	1	0.8916015625
534.8955078125	0.00833333333333333	1	30	4	1	1.04296875
538.38671875	0.00833333333333333	1	NaN	-1	1	0.81640625
541.361328125	0.00833333333333333	1	30	5	1	0.841796875
544.3115234375	0.00833333333333333	1	NaN	0	1	0.9150390625
547.728515625	0.00833333333333333	1	-30	-9	2	1.154296875
550.9619140625	0.00833333333333333	1	-30	-10	2	0.9775390625
554.302734375	0.00833333333333333	1	NaN	1	2	0.98828125
557.76953125	0.00833333333333333	1	NaN	0	2	1.017578125
561.0859375	0.00833333333333333	1	-30	-11	1	1.3896484375
564.8369140625	0.00833333333333333	1	30	6	2	1.4072265625
568.494140625	0.00833333333333333	1	-30	-10	1	1.2939453125
572.2265625	0.00833333333333333	1	NaN	-1	1	1.0576171875
575.7685546875	0.00833333333333333	1	-30	-9	1	1.9951171875
579.96875	0.00833333333333333	1	-30	-10	1	1.259765625
583.2939453125	0.00833333333333333	1	-30	-8	2	0.9580078125
586.8603515625	0.00833333333333333	1	30	5	1	2.095703125
591.4267578125	0.00833333333333333	1	NaN	-1	1	1.3935546875
595.15234375	0.00833333333333333	1	NaN	0	2	1.396484375
598.9599609375	0.00833333333333333	1	-30	-9	1	1.453125
602.509765625	0.00833333333333333	1	NaN	-1	2	1.0546875
606.001953125	0.00833333333333333	1	30	6	1	1.01171875
609.376953125	0.00833333333333333	1	-30	-8	1	1.1162109375
612.5185546875	0.00833333333333333	1	-30	-7	2	1.0703125
615.943359375	0.00833333333333333	1	-30	-8	1	1.142578125
619.2265625	0.00833333333333333	1	NaN	0	2	1.1552734375
622.576171875	0.00833333333333333	1	NaN	-1	1	0.78125
625.5849609375	0.00833333333333333	1	-30	-7	2	0.9248046875
628.767578125	0.00833333333333333	1	NaN	-2	1	0.8544921875
631.7763671875	0.00833333333333333	1	NaN	0	2	1.0537109375
634.92578125	0.00833333333333333	1	-30	-8	1	1.1923828125
638.392578125	0.00833333333333333	1	NaN	-1	2	1.4697265625
642.234375	0.00833333333333333	1	-30	-7	2	0.8515625
645.326171875	0.00833333333333333	1	30	7	1	0.82421875
648.3759765625	0.00833333333333333	1	NaN	-1	1	0.8544921875
651.3671875	0.00833333333333333	1	NaN	0	1	0.9990234375
654.392578125	0.00833333333333333	1	NaN	1	2	0.9580078125
657.583984375	0.00833333333333333	1	NaN	-2	1	0.7587890625
660.517578125	0.00833333333333333	1	30	8	2	1.2333984375
664.1591796875	0.00833333333333333	1	30	7	1	1.1357421875
667.5927734375	0.00833333333333333	1	-30	-8	1	1.478515625
671.392578125	0.00833333333333333	1	30	8	1	1.6142578125
675.517578125	0.00833333333333333	1	NaN	0	1	1.9697265625
679.6669921875	0.00833333333333333	1	-30	-7	1	1.572265625
683.5751953125	0.00833333333333333	1	-30	-6	2	1.3681640625
687.2333984375	0.00833333333333333	1	30	9	1	0.974609375
690.3837890625	0.00833333333333333	1	NaN	-1	1	0.9755859375
693.5419921875	0.00833333333333333	1	30	10	1	0.833984375
696.8671875	0.00833333333333333	1	NaN	0	1	0.97265625
700.033203125	0.00833333333333333	1	NaN	1	1	1.2392578125
703.56640625	0.00833333333333333	1	NaN	2	1	1.1298828125
706.9169921875	0.00833333333333333	1	NaN	3	1	1.2353515625
710.3671875	0.00833333333333333	1	NaN	4	2	1.5048828125
713.9501953125	0.00833333333333333	1	30	11	2	1.41796875
717.6416015625	0.00833333333333333	1	30	10	1	0.806640625
720.7919921875	0.00833333333333333	1	30	11	1	0.873046875
747.6162109375	0.00833333333333333	1	30	12	1	1.609375
751.42578125	0.00833333333333333	1	30	13	2	1.3916015625
755.265625	0.00833333333333333	1	30	12	1	1.0166015625
758.541015625	0.00833333333333333	1	30	13	1	1.3486328125
762.44140625	0.00833333333333333	1	30	14	2	1.072265625
765.7998046875	0.00833333333333333	1	30	11.8333333333333	1	1.2666015625
769.357421875	0.00833333333333333	1	30	10.8333333333333	1	1.052734375
772.607421875	0.00833333333333333	1	NaN	-0.75	1	1.291015625
775.982421875	0.00833333333333333	1	NaN	0.25	1	1.32421875
