onset	duration	titr	surround	centre	response	rt
201.1826171875	0.00833333333333333	1	-30	15	2	2.8876953125
206.43359375	0.00833333333333333	1	-30	14	2	5.0771484375
214.025390625	0.00833333333333333	1	NaN	15	2	1.0771484375
217.408203125	0.00833333333333333	1	-30	-15	1	0.4794921875
220.423828125	0.00833333333333333	1	-30	13	1	0.87890625
223.474609375	0.00833333333333333	1	NaN	-15	1	0.9404296875
226.541015625	0.00833333333333333	1	30	-15	1	5.802734375
234.4658203125	0.00833333333333333	1	-30	14	1	0.677734375
237.349609375	0.00833333333333333	1	-30	-14	1	0.818359375
240.615234375	0.00833333333333333	1	-30	15	2	0.9365234375
244.048828125	0.00833333333333333	1	30	-14	2	0.703125
247.07421875	0.00833333333333333	1	-30	-13	1	0.7333984375
250.1494140625	0.00833333333333333	1	30	15	2	0.6513671875
253.365234375	0.00833333333333333	1	NaN	14	2	0.5634765625
256.07421875	0.00833333333333333	1	-30	-12	1	0.8544921875
259.2744140625	0.00833333333333333	1	-30	14	2	0.677734375
262.19921875	0.00833333333333333	1	NaN	-14	1	0.44921875
265.0986328125	0.00833333333333333	1	NaN	-13	1	1.23828125
268.8486328125	0.00833333333333333	1	30	14	2	0.6484375
272.07421875	0.00833333333333333	1	-30	13	2	0.822265625
275.4072265625	0.00833333333333333	1	30	-15	2	0.5693359375
278.1572265625	0.00833333333333333	1	-30	-11	2	0.755859375
281.44921875	0.00833333333333333	1	NaN	13	2	0.51953125
284.21484375	0.00833333333333333	1	-30	12	2	0.626953125
286.95703125	0.00833333333333333	1	30	13	2	0.5966796875
290.0400390625	0.00833333333333333	1	30	-16	2	0.8173828125
292.990234375	0.00833333333333333	1	NaN	-12	1	2.427734375
297.5322265625	0.00833333333333333	1	30	-17	2	0.6455078125
300.70703125	0.00833333333333333	1	NaN	-11	2	1.359375
304.548828125	0.00833333333333333	1	NaN	-12	2	0.8046875
307.5400390625	0.00833333333333333	1	30	-18	2	0.7255859375
310.7978515625	0.00833333333333333	1	NaN	-13	1	1.4521484375
314.7900390625	0.00833333333333333	1	30	-19	2	0.6767578125
317.5732421875	0.00833333333333333	1	-30	-12	1	1.453125
321.4970703125	0.00833333333333333	1	NaN	-12	1	0.8017578125
324.3984375	0.00833333333333333	1	30	-20	2	0.595703125
327.40625	0.00833333333333333	1	NaN	-11	1	1.1083984375
