onset	duration	titr	surround	centre	response	rt
0.701171875	0.00833333333333333	1	NaN	-11	1	0.455078125
3.392578125	0.00833333333333333	1	NaN	-10	1	0.427734375
6.25	0.00833333333333333	1	30	10	2	0.4580078125
9.2265625	0.00833333333333333	1	30	-17	2	0.498046875
12.1005859375	0.00833333333333333	1	NaN	12	2	0.560546875
15.04296875	0.00833333333333333	1	NaN	-9	1	0.513671875
17.9921875	0.00833333333333333	1	NaN	-8	1	0.4765625
20.951171875	0.00833333333333333	1	-30	19	2	0.6220703125
24.05078125	0.00833333333333333	1	30	9	2	0.818359375
27.109375	0.00833333333333333	1	-30	-14	1	0.82421875
30.234375	0.00833333333333333	1	NaN	-7	1	0.5224609375
33.0751953125	0.00833333333333333	1	NaN	-6	1	0.39453125
36	0.00833333333333333	1	-30	-13	1	0.60546875
39.0673828125	0.00833333333333333	1	NaN	-5	1	0.4658203125
41.6337890625	0.00833333333333333	1	-30	18	2	0.5
44.333984375	0.00833333333333333	1	NaN	11	2	0.4482421875
47.083984375	0.00833333333333333	1	-30	17	2	0.4501953125
50.0419921875	0.00833333333333333	1	-30	-12	1	0.66796875
53.2333984375	0.00833333333333333	1	30	-18	2	3.5166015625
58.9169921875	0.00833333333333333	1	NaN	10	2	0.521484375
61.5751953125	0.00833333333333333	1	30	8	2	0.703125
64.6162109375	0.00833333333333333	1	-30	-11	2	0.7265625
67.3505859375	0.00833333333333333	1	30	-19	1	0.48828125
69.9833984375	0.00833333333333333	1	NaN	-4	1	0.462890625
72.8583984375	0.00833333333333333	1	-30	-12	1	0.7080078125
75.966796875	0.00833333333333333	1	30	7	1	1.599609375
79.658203125	0.00833333333333333	1	-30	-11	1	0.701171875
82.8740234375	0.00833333333333333	1	-30	-10	1	0.5732421875
85.5751953125	0.00833333333333333	1	30	-18	1	0.591796875
88.4833984375	0.00833333333333333	1	-30	16	2	0.4521484375
91.125	0.00833333333333333	1	NaN	-3	1	0.970703125
94.3154296875	0.00833333333333333	1	NaN	-2	1	0.5478515625
97.2666015625	0.00833333333333333	1	-30	15	2	0.388671875
99.75	0.00833333333333333	1	NaN	-1	2	1.1298828125
102.9833984375	0.00833333333333333	1	NaN	-2	2	0.8642578125
106.25	0.00833333333333333	1	NaN	9	2	0.4697265625
109.0244140625	0.00833333333333333	1	30	-17	1	0.4150390625
111.8828125	0.00833333333333333	1	NaN	8	2	0.3974609375
114.3828125	0.00833333333333333	1	-30	14	2	0.4169921875
117.0234375	0.00833333333333333	1	-30	13	2	0.4169921875
119.783203125	0.00833333333333333	1	30	-16	1	0.4326171875
122.58984375	0.00833333333333333	1	-30	12	2	0.4345703125
125.32421875	0.00833333333333333	1	NaN	-3	1	0.396484375
127.8408203125	0.00833333333333333	1	-30	11	2	0.50390625
130.5234375	0.00833333333333333	1	-30	-9	2	0.6689453125
133.291015625	0.00833333333333333	1	-30	10	2	0.4052734375
136.21484375	0.00833333333333333	1	-30	-10	2	0.8740234375
139.4404296875	0.00833333333333333	1	30	-15	1	0.4404296875
142.1572265625	0.00833333333333333	1	30	8	2	0.7392578125
145.107421875	0.00833333333333333	1	-30	-11	1	0.5654296875
148.048828125	0.00833333333333333	1	30	-14	1	0.4482421875
162.0908203125	0.00833333333333333	1	NaN	-2	1	0.5986328125
165.048828125	0.00833333333333333	1	NaN	7	2	0.4013671875
167.939453125	0.00833333333333333	1	-30	9	2	0.478515625
170.57421875	0.00833333333333333	1	-30	-10	2	0.5
173.0400390625	0.00833333333333333	1	30	7	2	0.521484375
175.8564453125	0.00833333333333333	1	-30	-11	2	0.6904296875
