onset	duration	titr	surround	centre	response	rt
10.1533203125	0.00833333333333333	1	NaN	15	1	1.4228515625
13.8544921875	0.00833333333333333	1	-30	-15	2	1.521484375
17.7978515625	0.00833333333333333	1	30	-15	2	1.8740234375
22.037109375	0.00833333333333333	1	-30	-16	2	1.3232421875
25.4609375	0.00833333333333333	1	-30	15	1	0.771484375
28.427734375	0.00833333333333333	1	-30	16	1	0.7568359375
31.5625	0.00833333333333333	1	30	-16	2	0.662109375
34.4873046875	0.00833333333333333	1	30	15	1	0.6650390625
37.578125	0.00833333333333333	1	NaN	-15	2	0.5908203125
40.5625	0.00833333333333333	1	-30	17	1	0.7744140625
43.5703125	0.00833333333333333	1	NaN	16	1	0.4462890625
46.3955078125	0.00833333333333333	1	30	-17	2	0.9658203125
49.7783203125	0.00833333333333333	1	-30	-17	1	0.5029296875
52.677734375	0.00833333333333333	1	-30	18	1	1.1474609375
55.8623046875	0.00833333333333333	1	NaN	17	1	28.091796875
86.26171875	0.00833333333333333	1	NaN	-16	1	0.98046875
89.669921875	0.00833333333333333	1	NaN	-15	1	0.8203125
92.802734375	0.00833333333333333	1	NaN	18	2	0.7119140625
95.9775390625	0.00833333333333333	1	-30	19	2	0.6572265625
99.0029296875	0.00833333333333333	1	30	16	2	1.16796875
102.736328125	0.00833333333333333	1	30	-18	1	0.71484375
106.0107421875	0.00833333333333333	1	-30	-16	1	1.0556640625
109.185546875	0.00833333333333333	1	30	15	1	0.921875
112.4697265625	0.00833333333333333	1	NaN	17	2	0.9169921875
115.9775390625	0.00833333333333333	1	NaN	16	2	0.521484375
118.65234375	0.00833333333333333	1	-30	18	2	0.6552734375
121.427734375	0.00833333333333333	1	NaN	-14	1	0.9833984375
124.8017578125	0.00833333333333333	1	30	16	2	0.7294921875
127.677734375	0.00833333333333333	1	NaN	-13	1	0.71875
130.501953125	0.00833333333333333	1	30	-17	1	0.58203125
133.59375	0.00833333333333333	1	-30	-15	2	0.73828125
136.84375	0.00833333333333333	1	30	-16	1	0.6162109375
140.060546875	0.00833333333333333	1	NaN	15	2	0.50390625
143.0263671875	0.00833333333333333	1	-30	-16	2	0.6494140625
145.90234375	0.00833333333333333	1	30	15	2	0.56640625
148.91015625	0.00833333333333333	1	-30	-17	1	0.6298828125
152.0107421875	0.00833333333333333	1	NaN	-12	1	0.5615234375
155.09375	0.00833333333333333	1	-30	-16	1	0.4951171875
